player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Andrea Barzagli,ITA,DF,Chievo,Serie A,22,29,2462,3,0,2003-2004,False,0.1097
Christian Bassila,FRA,"DF,MF",Strasbourg,Ligue 1,25,34,3041,4,0,2003-2004,False,0.1184
Basti,ESP,FW,Albacete,La Liga,29,14,396,1,0,2003-2004,False,0.2273
Adrián Bastía,ARG,MF,Espanyol,La Liga,24,8,627,0,0,2003-2004,False,0.0
Bruno Basto,POR,DF,Bordeaux,Ligue 1,25,32,2315,0,2,2003-2004,False,0.0778
Yıldıray Baştürk,TUR,MF,Leverkusen,Bundesliga,24,17,665,2,4,2003-2004,False,0.812
Laurent Batlles,FRA,MF,Marseille,Ligue 1,27,15,931,3,0,2003-2004,True,0.29
Laurent Batlles,FRA,MF,Bastia,Ligue 1,27,19,1634,0,0,2003-2004,True,0.0
Sebastián Battaglia,ARG,MF,Villarreal,La Liga,22,15,1125,0,0,2003-2004,False,0.0
David Batty,ENG,MF,Leeds United,Premier League,34,12,834,0,1,2003-2004,False,0.1079
Frank Baumann,GER,"DF,MF",Werder Bremen,Bundesliga,27,32,2872,2,2,2003-2004,False,0.1253
Fabio Bazzani,ITA,FW,Sampdoria,Serie A,26,32,2878,13,4,2003-2004,False,0.5316
James Beattie,ENG,FW,Southampton,Premier League,25,37,2965,14,6,2003-2004,False,0.6071
David Beckham,ENG,MF,Real Madrid,La Liga,28,32,2745,3,9,2003-2004,False,0.3934
Mathieu Béda,FRA,"DF,MF",Bordeaux,Ligue 1,22,7,429,1,0,2003-2004,False,0.2098
Jean-François Bédénik,FRA,GK,Le Mans,Ligue 1,24,28,2520,0,0,2003-2004,False,0.0
Markus Beierle,GER,FW,Eintracht Frankfurt,Bundesliga,31,20,1181,4,2,2003-2004,False,0.4572
Stefan Beinlich,GER,MF,Hamburger SV,Bundesliga,31,23,1846,2,4,2003-2004,False,0.2925
Emanuele Belardi,ITA,GK,Reggina,Serie A,25,30,2700,0,0,2003-2004,False,0.0
Craig Bellamy,WAL,FW,Newcastle United,Premier League,24,16,1212,4,0,2003-2004,False,0.297
Manuel Belleri,ITA,DF,Empoli,Serie A,25,30,2524,1,1,2003-2004,False,0.0713
Juliano Belletti,BRA,"DF,MF",Villarreal,La Liga,27,28,2287,3,3,2003-2004,False,0.2361
David Bellion,FRA,FW,Manchester Utd,Premier League,20,14,457,2,1,2003-2004,False,0.5908
Claudio Bellucci,ITA,FW,Bologna,Serie A,28,25,1572,7,3,2003-2004,False,0.5725
Emre Belözoğlu,TUR,MF,Inter,Serie A,22,21,1367,0,3,2003-2004,False,0.1975
Michał Bemben,GER,"DF,MF",Bochum,Bundesliga,27,10,244,0,1,2003-2004,False,0.3689
Madjid Ben Haddou,ALG,MF,Nice,Ligue 1,27,1,14,0,0,2003-2004,True,0.0
Chaouki Ben Saada,TUN,"FW,MF",Bastia,Ligue 1,19,33,1953,3,1,2003-2004,False,0.1843
Selim Benachour,TUN,MF,Paris Saint-Germain,Ligue 1,21,9,368,0,1,2003-2004,False,0.2446
Antonio Benarrivo,ITA,DF,Parma,Serie A,34,5,144,0,0,2003-2004,False,0.0
Yossi Benayoun,ISR,MF,Racing Sant,La Liga,23,35,2693,7,2,2003-2004,False,0.3008
Collin Benjamin,NAM,"DF,MF",Hamburger SV,Bundesliga,24,16,755,0,0,2003-2004,False,0.0
Trevor Benjamin,JAM,FW,Leicester City,Premier League,24,4,131,0,0,2003-2004,False,0.0
Benjani,ZIM,FW,Auxerre,Ligue 1,24,3,78,0,0,2003-2004,False,0.0
Ian Bennett,ENG,GK,Birmingham City,Premier League,31,6,461,0,0,2003-2004,False,0.0
Marcus Bent,ENG,FW,Leicester City,Premier League,25,33,2495,9,3,2003-2004,False,0.4329
David Bentley,ENG,MF,Arsenal,Premier League,18,1,61,0,0,2003-2004,False,0.0
Dimitar Berbatov,BUL,FW,Leverkusen,Bundesliga,22,33,2291,16,7,2003-2004,False,0.9035
Héctor Berenguel,ESP,DF,Dep La Coruña,La Liga,28,17,1423,0,1,2003-2004,False,0.0632
Vinícius Bergantin,BRA,DF,Hannover 96,Bundesliga,23,22,1823,1,0,2003-2004,False,0.0494
André Bergdølmo,NOR,DF,Dortmund,Bundesliga,31,16,1208,0,0,2003-2004,False,0.0
Patrik Berger,CZE,MF,Portsmouth,Premier League,29,20,1689,5,5,2003-2004,False,0.5329
Dennis Bergkamp,NED,FW,Arsenal,Premier League,34,28,1766,4,7,2003-2004,False,0.5606
Bryan Bergougnoux,FRA,"FW,MF",Lyon,Ligue 1,20,12,175,0,0,2003-2004,False,0.0
Franck Béria,FRA,DF,Metz,Ligue 1,20,11,980,0,0,2003-2004,False,0.0
Eduardo Berizzo,ARG,DF,Celta Vigo,La Liga,33,27,2237,1,1,2003-2004,False,0.0805
Eyal Berkovic,ISR,MF,Portsmouth,Premier League,31,11,811,1,1,2003-2004,False,0.2219
Eyal Berkovic,ISR,MF,Manchester City,Premier League,31,4,149,0,0,2003-2004,False,0.0
Olivier Bernard,FRA,DF,Newcastle United,Premier League,23,35,3133,1,3,2003-2004,False,0.1149
Lucas Bernardi,ARG,MF,Monaco,Ligue 1,25,33,2803,2,2,2003-2004,False,0.1284
Bruno Berner,SUI,"DF,MF",Freiburg,Bundesliga,25,33,2212,1,5,2003-2004,False,0.2441
Daniele Berretta,ITA,MF,Ancona,Serie A,31,22,1716,1,0,2003-2004,False,0.0524
Emanuele Berrettoni,ITA,FW,Perugia,Serie A,22,8,195,0,1,2003-2004,False,0.4615
Mathieu Berson,FRA,MF,Nantes,Ligue 1,23,24,2056,2,1,2003-2004,False,0.1313
Jérémy Berthod,FRA,DF,Lyon,Ligue 1,19,26,2101,0,1,2003-2004,False,0.0428
Samir Bertin d'Avesnes,COM,"FW,MF",Bastia,Ligue 1,17,7,109,0,0,2003-2004,False,0.0
Valerio Bertotto,ITA,DF,Udinese,Serie A,28,29,2570,0,1,2003-2004,False,0.035
Marc Bertrán,ESP,DF,Espanyol,La Liga,21,6,405,0,1,2003-2004,False,0.2222
Stéphane Besle,FRA,DF,Lens,Ligue 1,19,1,14,0,0,2003-2004,False,0.0
Stefano Bettarini,ITA,DF,Sampdoria,Serie A,31,30,2569,0,2,2003-2004,False,0.0701
Habib Beye,SEN,DF,Marseille,Ligue 1,25,22,1559,0,0,2003-2004,False,0.0
Habib Beye,SEN,DF,Strasbourg,Ligue 1,25,1,90,0,0,2003-2004,False,0.0
Juanjo Bezares,ESP,MF,Sevilla,La Liga,22,1,55,0,0,2003-2004,False,0.0
Yacine Bezzaz,ALG,MF,Ajaccio,Ligue 1,22,5,159,0,0,2003-2004,False,0.0
Daniel Bierofka,GER,MF,Leverkusen,Bundesliga,24,32,1901,4,2,2003-2004,False,0.2841
Yoann Bigné,FRA,MF,Nice,Ligue 1,25,28,2044,0,3,2003-2004,False,0.1321
Fábio Bilica,BRA,DF,Ancona,Serie A,24,16,1263,1,0,2003-2004,False,0.0713
Marino Biliškov,CRO,DF,Wolfsburg,Bundesliga,27,23,1641,3,0,2003-2004,False,0.1645
Philippe Billy,FRA,DF,Lecce,Serie A,21,3,40,0,0,2003-2004,False,0.0
Uwe Bindewald,GER,DF,Eintracht Frankfurt,Bundesliga,34,21,1561,0,0,2003-2004,False,0.0
Alessandro Birindelli,ITA,DF,Juventus,Serie A,28,19,1312,0,1,2003-2004,False,0.0686
Igor Bišćan,CRO,"DF,MF",Liverpool,Premier League,25,29,2325,0,0,2003-2004,False,0.0
Albano Bizzarri,ARG,GK,Valladolid,La Liga,25,38,3375,0,0,2003-2004,False,0.0
Nenad Bjelica,CRO,MF,Kaiserslautern,Bundesliga,31,19,1462,2,3,2003-2004,False,0.3078
Nathan Blake,WAL,FW,Wolves,Premier League,31,13,1001,1,2,2003-2004,False,0.2697
Serge Blanc,FRA,DF,Montpellier,Ligue 1,30,13,1091,0,0,2003-2004,False,0.0
Manuele Blasi,ITA,MF,Parma,Serie A,22,12,1058,0,0,2003-2004,False,0.0
Jérémy Blayac,FRA,FW,Toulouse,Ligue 1,20,2,17,0,0,2003-2004,False,0.0
Alan Blayney,NIR,GK,Southampton,Premier League,21,2,180,0,0,2003-2004,False,0.0
