player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Giacomo Brichetto,ITA,GK,Palermo,Serie A,28,1,45,0,0,2011-2012,False,0.0
Wayne Bridge,ENG,DF,Sunderland,Premier League,30,8,320,0,0,2011-2012,False,0.0
Franco Brienza,ITA,"FW,MF",Siena,Serie A,32,36,3104,4,3,2011-2012,True,0.203
Matthew Briggs,GUY,DF,Fulham,Premier League,20,2,91,0,0,2011-2012,False,0.0
Matteo Brighi,ITA,MF,Atalanta,Serie A,30,11,769,0,0,2011-2012,False,0.0
Daniel Brinkmann,GER,MF,Augsburg,Bundesliga,25,15,806,1,2,2011-2012,True,0.335
Jonathan Brison,FRA,"DF,MF",Saint-Étienne,Ligue 1,28,4,230,0,1,2011-2012,True,0.3913
Jonathan Brison,FRA,"DF,MF",Nancy,Ligue 1,28,10,727,0,0,2011-2012,False,0.0
Miguel Britos,URU,DF,Napoli,Serie A,26,11,668,1,0,2011-2012,False,0.1347
Leon Britton,ENG,MF,Swansea City,Premier League,28,36,3010,0,0,2011-2012,False,0.0
Davide Brivio,ITA,DF,Lecce,Serie A,23,26,2039,2,0,2011-2012,False,0.0883
Željko Brkić,SRB,GK,Siena,Serie A,25,18,1620,0,0,2011-2012,False,0.0
Cristian Brocchi,ITA,MF,Lazio,Serie A,35,15,1063,0,0,2011-2012,False,0.0
Roel Brouwers,NED,DF,Gladbach,Bundesliga,29,21,1632,0,0,2011-2012,False,0.0
Wes Brown,ENG,DF,Sunderland,Premier League,31,20,1735,1,0,2011-2012,False,0.0519
Jeffrey Bruma,NED,DF,Hamburger SV,Bundesliga,19,22,1935,2,0,2011-2012,False,0.093
Bruno,ESP,DF,Valencia,La Liga,30,14,893,0,1,2011-2012,True,0.1008
Gianni Bruno,BEL,"FW,MF",Lille,Ligue 1,19,10,119,1,0,2011-2012,False,0.7563
Chris Brunt,NIR,"DF,MF",West Brom,Premier League,26,29,2306,2,6,2011-2012,True,0.3122
Christopher Buchtmann,GER,"DF,MF",Köln,Bundesliga,19,2,45,0,0,2011-2012,False,0.0
Igor Budan,CRO,FW,Palermo,Serie A,31,22,1155,6,2,2011-2012,True,0.6234
Gianluigi Buffon,ITA,GK,Juventus,Serie A,33,35,3150,0,0,2011-2012,False,0.0
Alexander Bugera,GER,DF,Kaiserslautern,Bundesliga,32,20,1762,1,0,2011-2012,False,0.0511
Frédéric Bulot,GAB,MF,Caen,Ligue 1,20,38,3000,4,7,2011-2012,True,0.33
Umut Bulut,TUR,"FW,MF",Toulouse,Ligue 1,28,31,1715,5,0,2011-2012,False,0.2624
Niko Bungert,GER,DF,Mainz 05,Bundesliga,24,29,2423,3,0,2011-2012,False,0.1114
Albert Bunjaku,KVX,FW,Nürnberg,Bundesliga,27,17,569,1,1,2011-2012,True,0.3163
Mark Bunn,ENG,GK,Blackburn Rovers,Premier League,26,3,270,0,0,2011-2012,False,0.0
Diego Buonanotte,ARG,"FW,MF",Málaga,La Liga,23,10,363,0,1,2011-2012,True,0.2479
Sascha Burchert,GER,GK,Hertha BSC,Bundesliga,21,2,98,0,0,2011-2012,False,0.0
Nicolás Burdisso,ARG,DF,Roma,Serie A,30,10,803,1,0,2011-2012,False,0.1121
Sergio Busquets,ESP,MF,Barcelona,La Liga,23,31,2434,1,1,2011-2012,True,0.074
Édouard Butin,FRA,FW,Sochaux,Ligue 1,23,25,1763,6,4,2011-2012,True,0.5105
Heiko Butscher,GER,DF,Freiburg,Bundesliga,31,8,571,0,0,2011-2012,False,0.0
Hans-Jörg Butt,GER,GK,Bayern Munich,Bundesliga,37,1,90,0,0,2011-2012,False,0.0
Ákos Buzsáky,HUN,MF,QPR,Premier League,29,18,900,2,2,2011-2012,True,0.4
Jakub Błaszczykowski,POL,MF,Dortmund,Bundesliga,25,29,1966,6,8,2011-2012,True,0.6409
Willy Caballero,ARG,GK,Málaga,La Liga,29,28,2402,0,0,2011-2012,False,0.0
Yohan Cabaye,FRA,MF,Newcastle United,Premier League,25,34,2821,4,6,2011-2012,True,0.319
